sentence,modified,transformation
Just grab what you need and leave.,Just grabbing what you needs and leaved.,VerbAgreementDestroyer
He was released in 1981.,He was released at 1981.,InAtOnDestroyer
I promise I won't cry.,I promise I wont cry,RemovePunctuationDestroyer
He had taken to drinking more than was good for him.,He had taken to drinking most than was good for him.,ComparativeSuperlativeDestroyer
Her body was cremated quickly so the infection would not spread.,Her body was cremated quickly so the infection not spread.,ModalVerbRemover
"In the breeding season they move to the coast, where they dig burrows on cliffs and make a nest in the burrow.","In the breeding season they move to the coast, where they dig burrows on cliffs and making a nest in the burrow.",VerbAgreementDestroyer
"Before he went to Red Bull in the summer of 2011, he played for AFC Ajax Amsterdam and FC Groningen in the Dutch Eredivisie.","Before he go to Red Bull in the summer of 2011, he played for AFC Ajax Amsterdam and FC Groningen in the Dutch Eredivisie.",VerbAgreementDestroyer
"They feature in the 2010 BBC Radio 4 series A History of the World in 100 Objects as number 61, in the ""Status Symbols"" section.","They features in the 2010 BBC Radio 4 series A History of the World in 100 Objects as number 61, in the ""Status Symbols"" section.",ThirdPersonVerbChanger
I'm probably going to try again.,I'm probably going to tyr again.,RandomTypoDestroyOperation
"Whitaker's Almanack 1965 He was appointed Flag Officer Aircraft Carriers in 1966, Commander-in-Chief of the Far East Fleet in 1967 and Commander-in-Chief of the Western Fleet in 1970.","Whitaker's Almanack 1965 He was appointed Flag Officer Aircraft Carriers in 1966, most Command-in-Chief of the Far East Fleet in 1967 and most Command-in-Chief of the Western Fleet in 1970.",ComparativeSuperlativeDestroyer
"Every day, meteorites fall to the Earth.","Every day, meteorites falls to the Earth.",ThirdPersonVerbChanger
"I have the French nationality, but I'm from Vietnam.","I have French nationality, but I'm from Vietnam.",DeterminersDestroyer
How do you get on?,How does you get on?,ThirdPersonVerbChanger
Tom is worried you won't do that.,Tom is worried you n't do that.,ModalVerbRemover
Give us a second.,Gave us a second.,TimeAgreementDestroyer
It is used to cut small pieces of wood and most joints.,It is used to cutting small pieces of wood and more joints.,ComparativeSuperlativeDestroyer
The play tells of Medea avenging her husband's betrayal by killing their children.,The play tell of Medea avenging her husband's betrayal by killing their children.,ThirdPersonVerbChanger
He decided that his kielbasa was too dignified for an ordinary bun.,He decided that his kielbasa was too dignified for ordinary bun.,DeterminersDestroyer
He was an important person in the New Left movement and in wider culture.,He was a important person in the New Left movement and in wider culture.,DeterminersReplacer
They dug an underground room to try and get away from the heat.,They dig an underground room to tries and get away from the heat.,VerbAgreementDestroyer
Dell has about $19.9 billion dollars.,Dell has about $199 billion dollars,RemovePunctuationDestroyer
It lies at the foot of the Mischabelhorner and Dom (convert).,It lies at foot of the Mischabelhorner and Dom (convert).,DeterminersDestroyer
What is the bad news?,What am the bad news?,ThirdPersonVerbChanger
Tom and Mary said they thought John might not need to do that this week.,Tom and Mary say they thinking John might not need to do that this week,VerbAgreementDestroyer
I understand how to solve the problem.,I understand how to solved the problem.,VerbAgreementDestroyer
"recognized only by Turkey. 58273 Reconceiving the gene: Seymour Benzer's adventures in phage genetics. 58274 Recorded a total of 22 maps, new modes Parcheesi Town"" also doubles the fun element!","recognized only by Turkey. 58273 Reconceiving the gene: Seymour Benzers adventures in phage genetics. 58274 Recorded a total of 22 maps, new modes Parcheesi Town"" also doubles the fun element!",PossessivesDestroyer
International Airport is convert from Mehrauli.,International Airport am convert from Mehrauli.,ThirdPersonVerbChanger
Air traffic increased.,Air traffic increased,RemovePunctuationDestroyer
When Alfan was launched it began to work with 5-10 creators.,When Alfan was launched it began for work with 5-10 creators.,ToForDestroyer
Rattle has toured to many countries during his career.,Rattle had toured to many countries during his career.,VerbAgreementDestroyer
I'll turn it over to him.,Me'll turn it over to him.,IMeDestroyer
"'s Secret (sikeuris) citation as well as the Radio Star, for which bandmate Kyuhyun took over the role.","'s Secret (sikeuris) citation as well as Radio Star, for which bandmate Kyuhyun took over the role.",DeterminersDestroyer
Tom is going to have a birthday party for Mary on Monday.,Toms was went to have a birthday party for Mary on Monday.,VerbAgreementDestroyer
"In London, the British government began to debate about Ireland's rule.","in london, the british government began to debate about irelands rule.",PossessivesDestroyer
There are 50 stars on the American flag.,There is 50 stars on the American flag.,ThirdPersonVerbChanger
I have to feed him and burp him.,I having to feed him and burp him.,ProgressiveDestroyOperation
Braeden is married to Dale Russell Gudegast since 1966 and have two children together.,Braeden am married to Dale Russell Gudegast since 1966 and having two children together.,ProgressiveDestroyOperation
"The issue with using ferro/magnetic materials to view a field is, the materials themselves become magnetized and change the original field to include their own influence.","issue with using ferro/magnetic materials to view field is, materials themselves become magnetized and change the original field to include their own influence.",DeterminersDestroyer
"Although completing the square can be used to solve many quadratic equations, it does not work with every equation.","Although completing square can be used to solve many quadratic equations, it does not work with equation.",DeterminersDestroyer
The traffic lights are synchronized.,traffic lights are synchronized.,DeterminersDestroyer
I can't solve this problem. It's too difficult for me.,I can't solve this problem. It am too difficult for me.,ThirdPersonVerbChanger
It was founded in 1912.,It were founded in 1912.,ReplaceTokensDestroyer
